mu,,e,,antimu,,antie,
X,Y,X,Y,X,Y,X,Y
217.8337453678808,328.5263702120328,12.144525565198371,96.44690179196856,15.225282933099676,265.1477648015585,14.202168420286085,69.08788814591013
263.75738019062965,322.8001847102555,14.704830242555994,91.23060478429446,18.43507181274218,266.15773805190685,17.19626465235942,64.94879671404139
319.36261981602985,316.4210443827551,17.804897466067207,85.35831580672796,22.321547273326914,266.91774183870996,20.821575216049247,61.23202840609703
386.6905368185092,309.1378690373904,21.55851978894134,79.59877521025464,27.027368145698226,266.91774183870996,25.211172498331692,57.31790664576707
468.21250198637415,301.4487552037945,26.10347947108032,74.05169077001824,32.725268546055815,266.91774183870996,30.52618316075878,53.73053534887125
566.9208996423705,293.3926416524037,31.606605980742632,69.15358497516104,39.624398337206394,266.7909240022186,36.9617025319174,50.10507488040596
686.4389675367277,283.5235105323254,38.26989971695808,64.12074460842092,47.97800028366274,265.27380156989466,44.753955870059414,46.41440544644369
831.1537931484528,273.8561806159836,46.33794673298273,59.00382435378332,58.09270570192421,263.1393012177691,54.18896936064173,42.83243269716701
1006.3773482208327,263.7653063443739,56.106896629187645,54.114921176460584,70.33978981653244,260.5262627721919,65.61306913056733,39.414347898526785
1218.5414725420178,251.40400806761042,67.9353331622192,49.51330823570382,85.16879996639715,257.20473363889994,79.44559366097589,36.18295199609049
1475.4339641387069,239.28063402612466,82.25743659222131,45.21695324975837,103.12405690486264,253.082239530963,96.19428622649932,33.07471638969936
1786.4844419228446,226.98552794553382,99.59892091154472,41.1758243056769,124.86463489814528,248.19878135404474,116.4739323632365,30.17607138362663
2163.1104738024987,214.09774655615612,120.59633095449804,37.40686860837804,151.18855402120994,242.6011665769209,141.028926481276,27.492238033188425
2619.1366754013593,200.7933539414803,146.02040771709838,33.90224453575251,183.06207266509054,236.90451805599477,170.76059596266285,24.940202479812555
3171.302163025285,189.302727291977,176.8043795454489,30.769803479093454,221.65515548047105,230.24483332175885,206.76028571624437,22.614316379644904
3839.874987687552,174.0306305577249,214.0782176626587,27.794386000678834,268.3844186608565,223.34738922116614,250.34941760691822,20.46639676443821
4649.396103902881,160.52373361398818,259.2101134340954,25.190348884350755,324.96512893548345,216.24511410716528,303.12799519989744,18.557731115333933
5629.580181724978,147.57339727723334,313.85669985534713,22.78692469284861,393.4741649719225,208.67335151971474,367.03333425837303,16.779152516404704
6816.406327666271,134.89635290498956,380.0238607168952,20.603018894115237,476.4262522797928,200.41202242702323,444.4111747843742,15.163825377256861
8253.438751024587,122.49063028744136,460.1403595358479,18.646133367609696,576.8662699304928,192.4777574174106,538.1017848754758,13.697494560494475
9403.29411896037,114.89250668350371,557.1469909135794,16.899189817064155,698.4810173476534,183.80640433450174,651.5442169667834,12.355329337491867
0.406359943332391,94.6652260308189,674.6045267517413,15.308639328181071,845.7345437336795,175.1091236463305,788.9025433377714,11.149975334279183
0.3347745810705731,80.86081145191768,816.8244196521731,13.874383323745858,1024.0320075991513,166.427448706269,955.2187045450147,10.04787710451966
0.2695833521726478,67.20180721001317,989.0270611623788,12.556587128199839,1239.9180811015322,156.97803316188705,1156.5975813085831,9.063323969263388
0.22721429101683846,57.010175895781956,1197.5334039695117,11.396405270316935,1501.3171819179242,147.57339727723334,1400.4310831895139,8.159717636198911
0.1893336131218541,46.09889083949492,1449.9969818190475,10.284601421177346,1817.8243507180541,138.271454523807,1695.6694795647406,7.297486244785539
0.15421222805264628,35.53000250389553,1755.6848437923613,9.303342290186482,2201.0574513255533,128.94160718395932,2053.149932504209,6.557455438223926
0.12997546688516973,27.762104265239483,2125.817715051539,8.435726458464114,2665.0836215952695,119.72810519196918,2485.994290835563,5.870110604217829
0.10114641515360327,18.914101456267865,2573.981870154723,7.598301209314503,3226.935628517035,111.5433993075211,3010.09074701579,5.247326020114514
,,3116.627837361187,6.8375063260106845,3907.237081123774,101.28532752256956,3613.122709042943,4.705127020946873
,,3773.6742396055943,6.1266272621631765,4730.9594505684045,92.54059314937228,4336.964167457171,4.183016922078179
,,4569.238937017333,5.471424883504987,5728.338684911651,84.07005487447354,5205.81771073857,3.724680115794383
,,5532.524308652901,4.893263420001711,6935.985064321973,76.01275522500322,6194.635257447739,3.3182978782438997
,,6640.892550413574,4.375364050202271,8398.227035564896,68.20706549566195,7307.455583856509,2.976239810680357
,,7902.29497449644,3.9204679884366387,9485.415499255496,63.614879637381414,8620.185836742294,2.6406041209037525
,,9161.171277377676,3.5651953657755464,,,9568.254066635942,2.4671150796399677
